year_month,delta_videos
2015-06,0
2015-07,41
2015-08,42
2015-09,45
2015-10,40
2015-11,90
2015-12,22
2016-01,18
2016-02,421
2016-03,1813
2016-04,5191
2016-05,9392
2016-06,12370
2016-07,15378
2016-08,25434
2016-09,25124
2016-10,43638
2016-11,45641
2016-12,44349
2017-01,56713
2017-02,49644
2017-03,53170
2017-04,50517
2017-05,59069
2017-06,44327
2017-07,59889
2017-08,51656
2017-09,52666
2017-10,68627
2017-11,58253
2017-12,66287
2018-01,59723
2018-02,60540
2018-03,69330
2018-04,77286
2018-05,60472
2018-06,58924
2018-07,72725
2018-08,59967
2018-09,64432
2018-10,84354
2018-11,72273
2018-12,79728
2019-01,65197
2019-02,64535
2019-03,71978
2019-04,87098
2019-05,62074
2019-06,63262
2019-07,79148
2019-08,61886
2019-09,76880
