year_month,delta_views
2015-06,81720.25
2015-07,447229.0833333334
2015-08,3696148.3444444444
2015-09,8646342.947222222
2015-10,12378192.711787565
2015-11,14195365.879997022
2015-12,1361177.5885416674
2016-01,1935894.5062499992
2016-02,26463503.509375002
2016-03,25916376.56767096
2016-04,53294399.55094078
2016-05,108610755.54611176
2016-06,158874200.4406801
2016-07,243759695.0455203
2016-08,464025374.33835554
2016-09,430139784.9404068
2016-10,2490736003.4726276
2016-11,3025669151.172421
2016-12,3052891397.854971
2017-01,4951677410.28788
2017-02,3354135637.2533617
2017-03,3629184696.945661
2017-04,3958790645.1111093
2017-05,5122545516.274979
2017-06,4197555285.4282227
2017-07,5188233027.659599
2017-08,4172800010.3795147
2017-09,4139470923.7327657
2017-10,5471630004.954216
2017-11,5009000914.389172
2017-12,5914603067.923156
2018-01,5449403416.658298
2018-02,5574084992.929925
2018-03,5546289421.809764
2018-04,7536631896.034664
2018-05,6037403182.02808
2018-06,6924316633.406444
2018-07,9343867715.488014
2018-08,6849302098.817238
2018-09,6543877310.042327
2018-10,7689106390.577057
2018-11,6035989982.173616
2018-12,7656944881.912219
2019-01,6408425093.194009
2019-02,6328445425.095467
2019-03,6758711281.204196
2019-04,8822881267.730879
2019-05,7430482409.6410675
2019-06,7887339967.047495
2019-07,9964912587.524088
2019-08,7057495413.12295
2019-09,8667458513.201824
